Organization,Followed On
Quantum Leap,Sat Apr 24 00:01:16 UTC 2021
Diretório Acadêmico da Escola de Engenharia - UFMG,Sun Apr 18 01:25:38 UTC 2021
Pöyry,Wed Apr 07 19:33:15 UTC 2021
EPC Engenharia Projeto Consultoria SA,Wed Apr 07 19:33:14 UTC 2021
Progen S.A.,Mon Mar 15 19:43:04 UTC 2021
Quantanite,Sat Mar 06 16:07:17 UTC 2021
Rayming Technology,Wed Mar 03 17:16:13 UTC 2021
Gryfo,Sat Feb 27 10:57:37 UTC 2021
Carefy,Sat Feb 27 10:57:36 UTC 2021
Gedanken - GCertifica,Sat Feb 27 10:57:35 UTC 2021
5mart,Sat Feb 27 10:57:35 UTC 2021
Predify,Sat Feb 27 10:57:34 UTC 2021
Onkos Molecular Diagnostics,Sat Feb 27 10:57:34 UTC 2021
SimplificaCI,Sat Feb 27 10:57:33 UTC 2021
Valore Brasil - Controladoria de Resultados,Sat Feb 27 10:57:33 UTC 2021
VExpenses,Sat Feb 27 10:57:33 UTC 2021
Data Hackers,Sat Feb 27 10:57:32 UTC 2021
Intelligence artificielle,Sat Feb 27 10:57:31 UTC 2021
i2a2,Sat Feb 27 10:57:27 UTC 2021
Centro de Excelência em Inteligência Artificial (CEIA) & Deep Learning Brasil,Sat Feb 27 10:57:17 UTC 2021
Heurys Tecnologia,Sat Feb 27 10:57:14 UTC 2021
Noleak Defence,Sat Feb 27 10:57:14 UTC 2021
Spark Centre,Sat Feb 27 10:57:06 UTC 2021
Datalife.ai,Sat Feb 27 10:57:06 UTC 2021
Mr. Turing,Sat Feb 27 10:57:00 UTC 2021
Synkar Autonomous,Sat Feb 27 10:56:35 UTC 2021
I2A2 - Institut d'Intelligence Artificielle Appliquée ,Sat Feb 27 10:54:38 UTC 2021
DATA H - Artificial Intelligence Inc.,Sat Feb 27 10:54:28 UTC 2021
Quadrar Tecnologia ,Fri Feb 26 17:19:53 UTC 2021
GAVB,Fri Feb 26 17:19:05 UTC 2021
Hackster.io,Sat Feb 20 13:01:18 UTC 2021
CSEM,Sun Feb 07 11:32:01 UTC 2021
CSEM Brasil,Sun Feb 07 11:30:40 UTC 2021
includemicro,Fri Jan 22 07:25:52 UTC 2021
Tudo Sobre IoT - A maior comunidade de Internet das Coisas do Brasil,Sun Jan 17 12:23:45 UTC 2021
Banco BS2,Tue Jan 05 23:20:42 UTC 2021
Órbi Conecta,Tue Jan 05 23:20:41 UTC 2021
Raja Valley,Tue Jan 05 23:20:38 UTC 2021
San Pedro Valley,Tue Jan 05 23:20:13 UTC 2021
indWise,Tue Jan 05 23:16:42 UTC 2021
Bloomberg Professional Services,Tue Dec 29 20:48:06 UTC 2020
Omron Industrial Automation Europe,Sat Dec 26 22:19:32 UTC 2020
CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Sat Dec 26 22:19:21 UTC 2020
Instituto de Pesquisas Eldorado,Sat Dec 26 22:19:18 UTC 2020
Bosch Brasil,Sat Dec 26 22:19:15 UTC 2020
Festo,Sat Dec 26 22:19:13 UTC 2020
Universidade Estadual de Campinas,Sat Dec 26 22:19:03 UTC 2020
Pequenas Empresas & Grandes Negócios,Wed Dec 23 01:26:55 UTC 2020
Data Science Academy,Tue Dec 22 08:59:36 UTC 2020
DeepLearning.AI,Tue Dec 22 08:59:36 UTC 2020
IONIC Health,Sun Dec 20 20:19:58 UTC 2020
IoT - Internet of Things,Sat Dec 19 23:58:52 UTC 2020
Feniex Industries,Sat Dec 19 23:58:47 UTC 2020
Schneider Electric,Sat Dec 19 23:58:46 UTC 2020
Base2 Tecnologia,Sat Dec 19 08:42:25 UTC 2020
HTM Eletrônica,Wed Dec 16 09:43:39 UTC 2020
RFIDO DESIGN,Fri Dec 11 21:46:04 UTC 2020
Intelbras,Fri Dec 11 21:45:47 UTC 2020
M2M Telemetria,Fri Dec 11 21:45:06 UTC 2020
Nansen,Fri Dec 11 21:44:41 UTC 2020
Sascar,Fri Dec 11 21:43:39 UTC 2020
SALUAN SOLUÇÕES,Sun Nov 22 15:30:31 UTC 2020
Adafruit Industries,Sat Nov 21 10:53:27 UTC 2020
Internet of Things - IoT ,Sat Nov 21 10:53:09 UTC 2020
ENGIE | Mercado Livre de Energia,Tue Nov 17 14:48:20 UTC 2020
Sebrae Minas,Fri Nov 13 09:20:58 UTC 2020
SENAI FIEMG,Fri Nov 13 09:21:01 UTC 2020
FIEMG Lab,Fri Nov 13 09:20:31 UTC 2020
Brazilian Technology Symposium,Thu Nov 05 02:25:15 UTC 2020
Serta Servicos Técnicos e Administrativos,Mon Nov 02 22:51:44 UTC 2020
Machine Learning India,Sat Oct 31 12:54:55 UTC 2020
MAGNA SISTEMAS,Sat Oct 31 12:29:00 UTC 2020
Hensys,Thu Oct 29 10:45:15 UTC 2020
Amazon Web Services (AWS),Tue Oct 27 12:42:58 UTC 2020
IBM,Sun Sep 20 20:57:15 UTC 2020
FANUC America Corporation,Wed Sep 16 01:30:43 UTC 2020
KUKA,Wed Sep 16 01:30:39 UTC 2020
ABB,Wed Sep 16 01:30:20 UTC 2020
Aprendizado de Máquina,Wed Sep 16 01:28:18 UTC 2020
Magneti Marelli,Wed Sep 16 01:25:47 UTC 2020
Silicon Labs,Wed Sep 16 00:32:14 UTC 2020
Texas Instruments,Wed Sep 16 00:32:07 UTC 2020
Microchip Technology Inc.,Wed Sep 16 00:32:02 UTC 2020
STMicroelectronics,Wed Sep 16 00:32:01 UTC 2020
Arduino,Wed Sep 16 00:31:39 UTC 2020
Espressif Systems,Wed Sep 16 00:31:30 UTC 2020
Universidade Federal de Minas Gerais,Wed Sep 16 00:25:42 UTC 2020
CEFET-MG,Wed Sep 16 00:25:25 UTC 2020
Pontifícia Universidade Católica de Minas Gerais,Sun Sep 13 12:31:56 UTC 2020
FCA Latam (Fiat Chrysler Automobiles),Sat Sep 12 00:08:18 UTC 2020
PUC Minas Virtual,Fri Sep 11 16:32:20 UTC 2020
FGV Online,Wed Sep 16 00:27:32 UTC 2020
Fundação Getulio Vargas,Sat Aug 29 00:05:58 UTC 2020
Nubank,Sun Nov 08 11:26:46 UTC 2020
Vale,Fri Aug 28 23:53:28 UTC 2020
Ambev,Fri Aug 28 23:53:20 UTC 2020
Magazine Luiza,Fri Aug 28 23:53:16 UTC 2020
Via,Fri Aug 28 23:53:04 UTC 2020
Companhia Siderúrgica Nacional,Fri Jan 10 10:44:33 UTC 2020
FCA Fiat Chrysler Automobiles,Fri Jan 10 10:44:30 UTC 2020
Comau,Fri Jan 10 10:44:22 UTC 2020
AETHRA  - Automotive Systems,Fri Jan 10 10:44:20 UTC 2020
Siemens,Fri Jan 10 10:44:19 UTC 2020
ABB Process Automation,Fri Jan 10 10:44:18 UTC 2020
FIEMG,Fri Jan 10 10:44:13 UTC 2020
ABB Robotics,Fri Jan 10 10:44:12 UTC 2020
ArcelorMittal,Fri Jan 10 10:44:04 UTC 2020
Unilever,Fri Jan 10 10:43:51 UTC 2020
Grupo People RH,Fri Jan 10 10:43:47 UTC 2020
USIMINAS,Fri Jan 10 10:43:46 UTC 2020
GE,Fri Jan 10 10:43:44 UTC 2020
Forbes,Fri Jan 10 10:43:38 UTC 2020
Gasmig,Fri Jan 10 10:43:36 UTC 2020
JBS,Fri Jan 10 10:43:34 UTC 2020
TSA - Tecnologia de Sistemas de Automação S/A,Fri Jan 10 10:43:29 UTC 2020
Grupo Selpe,Fri Jan 10 10:43:26 UTC 2020
Gerdau,Fri Jan 10 10:43:18 UTC 2020
Rockwell Automation,Fri Jan 10 10:43:17 UTC 2020
WEG,Fri Jan 10 10:43:07 UTC 2020
Inter,Fri Dec 27 19:54:47 UTC 2019
Itaú Unibanco,Fri Dec 27 19:54:28 UTC 2019
FITec,Fri Dec 27 19:51:33 UTC 2019
Centro Universitário de Belo Horizonte,Sun Sep 04 17:55:15 UTC 2016
Cemig - Companhia Energética de Minas Gerais,Fri Sep 04 13:46:58 UTC 2015
